id,type,x,y,z,cluster
392183,1,-5.07086,10.3331,54.4154,1
393466,1,-6.87496,12.0038,54.4107,1
673139,3,-3.29016,11.9919,54.2192,1
396711,2,-6.91734,10.2966,56.2371,1
416558,5,-6.71503,12.1322,58.0859,2
649122,2,-5.05603,10.1936,57.975,2
373313,5,-3.24176,10.3973,56.2811,2
418698,3,-3.31224,12.0521,58.0194,2
674092,2,-4.8489,11.9434,63.7113,6
671929,5,-8.32636,11.956,63.5208,5
418777,5,-8.38966,12.0306,67.1769,3
652126,1,-8.23703,10.1244,65.422,0
399189,5,-6.45025,10.1714,63.5471,6
652484,2,-4.72129,12.0202,67.1091,6
396028,5,-6.40728,10.3084,67.1302,0
652899,4,-4.4227,10.1178,65.2615,6
653521,2,-5.00068,13.7221,54.3265,1
673605,4,-6.96135,24.661,52.8338,9
418312,4,-7.06325,22.7424,54.582,9
655765,5,-5.20257,22.7945,52.7594,9
394595,1,-3.27481,22.9449,54.3807,0
415593,5,-3.3582,24.7341,52.5984,9
415666,5,-8.85576,28.2161,54.5822,9
416235,1,-9.11892,29.9013,52.809,9
417906,2,-10.9933,29.8816,54.8173,10
417266,5,-7.13369,26.3873,54.5989,9
417196,2,-6.97412,28.202,52.5995,9
416151,2,-5.18306,26.4521,52.67,9
652047,3,-5.49626,28.1134,54.5691,9
415665,5,-5.55327,29.9339,52.8703,9
670972,3,-3.35247,26.5257,54.4774,9
416789,5,-9.03568,31.4508,54.7067,10
672723,5,-7.38968,31.7352,52.8408,10
673282,5,-5.50977,31.7526,54.7463,0
673691,1,-6.81025,13.7602,56.1106,1
651282,3,-4.98703,13.733,57.9714,2
395595,5,-3.18397,13.7311,56.18,1
652130,5,-5.08345,20.9755,58.0436,4
652819,2,-3.22147,19.3808,58.0124,4
674890,3,-1.651,21.214,57.8198,4
416234,5,-6.9692,24.6331,56.3455,9
417745,5,-5.02497,22.8774,56.2223,4
673122,1,-3.39411,24.8506,56.2777,9
396873,3,-3.32029,22.8256,57.9357,4
418866,2,-10.7155,28.1036,56.3851,9
417267,5,-8.93118,27.9643,58.3259,9
416799,4,-10.8311,29.7408,58.2357,11
417199,2,-7.30875,28.1787,56.5378,9
417831,3,-5.37189,26.4931,56.4368,9
393635,3,-5.30138,29.9187,56.3123,9
417350,5,-7.28698,29.962,58.2242,9
417435,1,-11.0393,31.5841,56.5382,11
417919,3,-9.2233,31.7464,58.1562,11
415672,5,-7.25614,31.6454,56.3908,10
673533,2,-4.86633,13.6476,61.6866,6
672964,4,-5.00309,15.5442,59.8996,5
393556,3,-6.63353,15.4405,61.824,6
416546,4,-3.26204,15.553,61.6355,6
417821,3,-12.3624,20.8343,61.8585,8
417188,2,-10.509,19.0921,61.7812,8
652568,1,-8.60754,20.6375,61.7662,7
652962,1,-6.60856,17.2527,60.1607,7
397036,1,-6.73942,19.2393,61.6715,7
416233,5,-4.97286,19.2916,59.976,7
673203,5,-4.94727,20.9649,61.9237,7
674734,3,-1.47561,19.0705,59.9488,5
653371,3,-3.29148,17.3913,59.7551,5
653123,4,-3.19403,19.0539,61.6623,7
416559,3,-1.59271,21.163,61.6867,4
396787,3,-10.6287,22.6608,61.9058,8
674162,5,-5.12498,22.5994,59.9231,4
397511,3,-1.64906,22.7359,59.8333,4
417914,2,-3.36353,22.8294,61.7283,4
651368,3,-8.47435,13.5943,65.2388,3
417671,4,-6.59442,13.7963,63.4926,6
630882,5,-6.44519,15.6298,65.1298,6
418381,3,-4.8779,13.683,65.3265,6
375108,1,-6.54578,13.7544,66.9855,6
395590,5,-3.20635,13.7128,63.4406,6
653048,4,-3.1558,15.4705,65.1346,6
650845,4,-12.3113,20.8596,65.3729,8
396956,5,-12.1943,19.1261,63.5845,8
375631,2,-8.59408,19.1352,63.494,3
417191,3,-10.3784,19.0024,65.2853,8
417912,5,-8.65739,20.6443,65.4563,3
654018,2,-4.99658,19.1932,63.4716,7
373392,1,-6.66988,17.4123,63.4114,6
394220,2,-4.79934,17.2667,65.2782,6
650859,3,-3.35661,17.2874,63.3448,7
396949,4,-12.4323,22.644,63.5374,8
417674,2,-8.67675,22.4933,63.6193,3
417675,5,-10.4475,22.3541,65.1861,3
